Name	Value	Access	
R0	0x00000001	ReadWrite	
R1	0x20070224	ReadWrite	
R2	0x20070228	ReadWrite	
R3	0x20070228	ReadWrite	
R4	0x00000000	ReadWrite	
R5	0x00000000	ReadWrite	
R6	0x00000000	ReadWrite	
R7	0x00000000	ReadWrite	
R8	0x00000000	ReadWrite	
R9	0x00000000	ReadWrite	
R10	0x00000000	ReadWrite	
R11	0x00000000	ReadWrite	
R12	0x00000000	ReadWrite	
APSR	0x20000000	ReadWrite	
IPSR	0x0000000f	ReadWrite	
EPSR	0x01000000	ReadWrite	
PC	0x20070138	ReadWrite	
SP	0x20070a00	ReadWrite	
LR	0xfffffff9	ReadWrite	
PRIMASK	0x00000000	ReadWrite	
BASEPRI	0x00000000	ReadWrite	
BASEPRI_MAX	0x00000000	ReadWrite	
FAULTMASK	0x00000000	ReadWrite	
CONTROL	0x00000000	ReadWrite	
CYCLECOUNTER	83999	ReadOnly	
CCTIMER1	83999	ReadWrite	
CCTIMER2	83999	ReadWrite	
CCSTEP	83870	ReadOnly	
